record_id,snapshot_month,restaurant_id,restaurant_name,city,neighborhood,cuisine_primary,cuisine_secondary,restaurant_type,price_range,avg_cost_for_two_usd,seating_capacity,delivery_available,family_friendly,alcohol_served,total_orders,dine_in_orders,delivery_orders,reservations_count,unique_customers,new_customers,repeat_customers,repeat_customer_rate_pct,total_reviews,avg_review_length_words,negative_review_share_pct,avg_food_rating,avg_service_rating,avg_ambience_rating,avg_value_rating,avg_cleanliness_rating,overall_rating,customer_satisfaction_score,nps,avg_wait_time_min,avg_delivery_time_min,on_time_delivery_rate_pct,complaint_rate_pct,discount_share_pct,ad_spend_usd,revenue_usd,revenue_per_customer_usd,month_over_month_revenue_growth_pct,rating_band,recommended_action
RST1000_202501,2025-01-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,998,577,421,70,649,462,187,28.88,60,32,27.93,4.08,3.81,3.99,3.46,4.11,3.89,91.1,7,6.3,39.4,78.33,3.6,6.94,3156.44,57537.71,88.66,,Good,Investigate complaint drivers
RST1000_202502,2025-02-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,982,479,503,142,792,554,238,30.16,52,39,26.19,4.09,3.91,3.94,3.55,4.03,3.92,97.2,2,10.9,29.6,83.29,3.4,7.95,2993.84,56410.86,71.23,-1.96,Good,Investigate complaint drivers
RST1000_202503,2025-03-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1173,563,610,149,714,532,182,25.5,67,43,23.9,4.19,3.66,4.22,3.59,4.1,3.99,88.2,0,21.4,25.8,94.46,4.5,6.16,3570.4,67816.04,94.98,20.22,Good,Improve service staffing/training
RST1000_202504,2025-04-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1040,553,487,68,826,601,225,27.31,75,43,26.27,4.02,3.79,4.11,3.56,3.75,3.83,87.2,-7,22.0,32.7,90.33,5.96,8.95,2495.71,59527.43,72.07,-12.22,Good,Improve service staffing/training
RST1000_202505,2025-05-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1025,529,496,146,816,577,239,29.3,69,35,24.53,4.27,4.15,3.94,3.71,4.05,4.05,89.9,12,20.7,27.5,98.75,5.4,9.25,2644.41,58604.49,71.82,-1.55,Very Good,Investigate complaint drivers
RST1000_202506,2025-06-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1074,575,499,216,779,563,216,27.82,63,31,26.18,3.87,3.71,4.12,3.73,3.86,3.78,88.3,-10,16.5,34.0,84.69,5.06,9.12,3455.72,61434.89,78.86,4.83,Good,Investigate complaint drivers
RST1000_202507,2025-07-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1165,569,596,62,847,604,243,28.74,95,32,25.79,4.19,3.97,4.14,3.89,4.57,4.06,93.6,4,18.9,34.2,78.94,4.08,7.06,3401.4,67137.9,79.27,9.28,Very Good,Investigate complaint drivers
RST1000_202508,2025-08-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1042,577,465,85,725,538,187,25.88,80,44,24.05,4.01,4.23,4.09,3.43,4.0,4.03,93.5,21,17.7,27.9,95.55,3.79,8.81,2462.7,59671.58,82.31,-11.12,Very Good,Investigate complaint drivers
RST1000_202509,2025-09-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,952,485,467,132,654,514,140,21.43,58,39,30.56,4.05,3.92,3.82,3.74,3.88,3.73,79.1,1,21.9,29.2,85.17,5.4,10.33,3038.27,54219.06,82.9,-9.14,Good,Investigate complaint drivers
RST1000_202510,2025-10-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1068,580,488,109,866,619,247,28.62,72,42,27.34,4.14,4.12,3.77,4.1,4.01,3.94,91.8,15,15.3,31.9,87.01,3.99,6.61,3309.72,61645.49,71.18,13.7,Good,Investigate complaint drivers
RST1000_202511,2025-11-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1112,568,544,176,850,587,263,31.05,82,32,26.66,4.02,3.83,4.2,3.65,4.08,3.98,92.9,8,19.8,28.8,88.76,4.65,8.65,2933.17,63717.4,74.96,3.36,Good,Investigate complaint drivers
RST1000_202512,2025-12-01,RST1000,Urban Japanese Corner,Dubai,Dubai Marina,Japanese,Sushi,Fine Dining,3,127.04,66,1,0,1,1203,592,611,78,838,582,256,30.59,87,38,23.67,4.32,4.04,4.09,3.84,4.16,4.08,95.2,9,11.9,26.6,89.89,3.05,8.49,3086.29,68971.72,82.31,8.25,Very Good,Maintain and monitor
RST1001_202501,2025-01-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,866,397,469,52,530,367,163,30.89,60,39,25.39,3.99,4.22,4.06,3.88,3.96,4.06,98.9,12,11.1,24.6,98.79,1.87,11.78,2750.89,35184.87,66.39,,Very Good,Investigate complaint drivers
RST1001_202502,2025-02-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,991,463,528,126,604,406,198,32.87,73,50,23.49,4.11,4.14,4.07,4.26,4.0,4.09,98.3,19,10.9,32.1,79.9,2.93,10.95,2244.07,40386.1,66.86,14.78,Very Good,Maintain and monitor
RST1001_202503,2025-03-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,1037,472,565,83,716,472,244,34.21,68,42,25.49,3.88,4.25,4.11,3.8,4.07,3.93,95.7,12,10.4,28.7,91.47,3.02,9.86,2478.08,42427.42,59.26,5.05,Good,Investigate complaint drivers
